,Firmware version,Device type,Configuration version,IMEI
0,R00A13V02,GV55W,202,868574042870530
1,R00A13V02,GV55W,202,868574042869458
2,R00A13V02,GV55W,202,868574042886783
3,R00A13V02,GV55W,202,868574042874979
4,R00A13V02,GV55W,202,868574042874896
5,R00A13V02,GV55W,202,868574042839857
6,R00A13V02,GV55W,202,868574042836945
7,R00A13V02,GV55W,202,868574042906185
8,R00A13V02,GV55W,202,868574042862693
9,R00A13V02,GV55W,202,868574042851316
10,R00A13V02,GV55W,202,868574042842778
11,R00A13V02,GV55W,202,868574042869003
12,R01A19V03,GV300W,230,863457051710364
13,R01A19V03,GV300W,231,863457051713012
14,R01A19V03,GV300W,230,863457051706800
15,R01A19V03,GV300W,231,863457051693248
16,R01A19V03,GV300W,230,863457051705950
17,R01A19V03,GV300W,230,863457051707972
18,R01A19V03,GV300W,230,863457051709531
19,R01A19V03,GV300W,230,863457051708889
20,,GV55W,,868574042443684
21,,GV55W,,868574042440227
22,R00A10V09,GV55W,103,868574042434006
23,R00A10V09,GV55W,103,868574042457395
24,,GV55W,,868574042457114
25,,GV55W,,868574042455449
26,R00A10V09,GV55W,103,868574042454020
27,R00A10V09,GV55W,103,868574042453550
28,,GV55W,,868574042453071
29,,GV55W,,868574042453063
30,R00A10V09,GV55W,103,868574042449970
31,R00A10V09,GV55W,114,868574042439153
32,R00A10V09,GV55W,103,868574042438163
33,R00A10V09,GV55W,103,868574042454418
34,R00A10V09,GV55W,103,868574042454244
35,R00A10V09,GV55W,103,868574042452636
36,R00A10V09,GV55W,103,868574042452537
37,R00A10V09,GV55W,103,868574042451893
38,R00A10V09,GV55W,103,868574042451661
39,R00A10V09,GV55W,103,868574042449467
40,R00A10V09,GV55W,103,868574042445721
41,R00A10V09,GV55W,103,868574042444658
42,R00A10V09,GV55W,103,868574042440987
43,R00A10V09,GV55W,103,868574042439500
44,R00A10V09,GV55W,103,868574042425632
45,R00A10V09,GV55W,103,868574042423074
46,R00A10V09,GV55W,103,868574042419429
47,R00A10V09,GV55W,103,868574042412572
48,R00A10V09,GV55W,103,868574042392808
49,R00A10V09,GV55W,103,868574042410071
50,R00A10V09,GV55W,103,868574042400361
51,85f,LMU2630,"55,161",352556102459703
52,85f,LMU2630,"55,169",358077093175137
53,29d,LMU330,"7,163",354514101461012
54,29b,LMU330,"7,163",352556102002644
55,29b,LMU330,"7,163",352556102014136
56,71a,LMU2630,"55,169",351628095444025
57,85f,LMU2630,"55,161",354514102530583
58,85f,LMU2630,"55,164",352556102272049
59,85f,LMU2630,"55,161",352556102537193
60,85f,LMU2630,"255,164",352556102535304
61,85f,LMU2630,"55,164",352556102510661
62,85f,LMU2630,"55,167",354514102535186
63,,GENX,/BasicScripts/PERU_BASIC_3810590.txt,357852031514634
64,,Queclink GV55Lite,,862193021563333
65,,GENX,/BasicScripts/PERU/CUSTOM_1MIN_PARKED,359315071918972
66,,CalAmp 0330H - 2G - LMU0330G-SK07-G1000,,868574042454475
67,85f,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,55161,358014096616635
68,,GenX 656B,No register,359316075756822
69,,GENX,,358014091464536
70,,,,868574042443494
71,85f,LMU2630_NoPEGBehavior,"55,167",354514101223594
72,71a,LMU2630_NoPEGBehavior,"55,161",351628096057784
73,29d,LMU330 - Null PEGBehavior,"7,175",352556102938524
74,29e,LMU330 - Null PEGBehavior,"7,173",359369091146866
75,85f,LMU2630_NoPEGBehavior,"255,161",358077093380331
76,85f,LMU2630_NoPEGBehavior,"255,161",354514101231647
77,G603.07.04KX 11:57:20 APR 26 2016,GenX 5P,/BasicScripts/PERU/PERU_BIN_TEMP_3810470.txt,358014091231083
78,85f,LMU2630_NoPEGBehavior,"55,182",358077093311625
79,29b,LMU330 - Null PEGBehavior,"7,138",358077092208152
80,R00A10V09,GV55W,103,868574042443668
81,85f,LMU2630_NoPEGBehavior,"55,167",358077093356547
82,R00A13V02,GV55W,202,868574042930789
83,,GV55W,,868574042445200
84,R00A10V09,GV55W,203,868574042446323
85,R00A10V09,GV55W,203,868574042459540
86,R00A10V09,GV55W,203,868574042458831
87,R00A10V09,GV55W,203,868574042458500
88,R00A10V09,GV55W,203,868574042452586
89,R00A10V09,GV55W,203,868574042451570
90,R00A10V09,GV55W,203,868574042423447
91,,Queclink GL 300 ,,860599002526895
92,,Queclink GL 300,,860599002522316
93,,Queclink GL 300,,860599002528263
94,,Queclink GL 300,,860599002517811
95,R00A13V02,GV55W,202,868574042905567
96,R00A13V02,GV55W,103,868574042874904
97,R00A13V02,GV55W,102,868574042918354
98,R00A13V02,GV55W,202,868574042855168
99,,GV55W,,868574042445242
100,,GV55W,,868574042453071
101,,GV55W,,868574042453063
102,R00A10V09,GV55W,103,868574042458419
103,R00A10V09,GV55W,202,868574042419742
