IMEI,Configuration version,Device type,Firmware version,NUEVA CONFIGURATION ,
868574042870530,202,GV55W,R00A13V02,,
868574042869458,202,GV55W,R00A13V02,,
868574042886783,202,GV55W,R00A13V02,,
868574042874979,202,GV55W,R00A13V02,,
868574042874896,202,GV55W,R00A13V02,,
868574042839857,202,GV55W,R00A13V02,,
868574042836945,202,GV55W,R00A13V02,,
868574042906185,202,GV55W,R00A13V02,,
868574042862693,202,GV55W,R00A13V02,,
868574042851316,202,GV55W,R00A13V02,,
868574042842778,202,GV55W,R00A13V02,,
868574042869003,202,GV55W,R00A13V02,,
863457051710364,230,GV300W,R01A19V03,,
863457051713012,231,GV300W,R01A19V03,,
863457051706800,230,GV300W,R01A19V03,,
863457051693248,231,GV300W,R01A19V03,,
863457051705950,230,GV300W,R01A19V03,,
863457051707972,230,GV300W,R01A19V03,,
863457051709531,230,GV300W,R01A19V03,,
863457051708889,230,GV300W,R01A19V03,,
868574042443684,,GV55W,,,
868574042440227,,GV55W,,,
868574042434006,103,GV55W,R00A10V09,,
868574042457395,103,GV55W,R00A10V09,,
868574042457114,,GV55W,,,
868574042455449,,GV55W,,,
868574042454020,103,GV55W,R00A10V09,,
868574042453550,103,GV55W,R00A10V09,,
868574042453071,,GV55W,,,
868574042453063,,GV55W,,,
868574042449970,103,GV55W,R00A10V09,,
868574042439153,114,GV55W,R00A10V09,,
868574042438163,103,GV55W,R00A10V09,,
868574042454418,103,GV55W,R00A10V09,,
868574042454244,103,GV55W,R00A10V09,,
868574042452636,103,GV55W,R00A10V09,,
868574042452537,103,GV55W,R00A10V09,,
868574042451893,103,GV55W,R00A10V09,,
868574042451661,103,GV55W,R00A10V09,,
868574042449467,103,GV55W,R00A10V09,,
868574042445721,103,GV55W,R00A10V09,,
868574042444658,103,GV55W,R00A10V09,,
868574042440987,103,GV55W,R00A10V09,,
868574042439500,103,GV55W,R00A10V09,,
868574042425632,103,GV55W,R00A10V09,,
868574042423074,103,GV55W,R00A10V09,,
868574042419429,103,GV55W,R00A10V09,,
868574042412572,103,GV55W,R00A10V09,,
868574042392808,103,GV55W,R00A10V09,,
868574042410071,103,GV55W,R00A10V09,,
868574042400361,103,GV55W,R00A10V09,,
352556102459703,"55,161",LMU2630,85f,,
358077093175137,"55,169",LMU2630,85f,,
354514101461012,"7,163",LMU330,29d,,
352556102002644,"7,163",LMU330,29b,,
352556102014136,"7,163",LMU330,29b,,
351628095444025,"55,169",LMU2630,71a,,
354514102530583,"55,161",LMU2630,85f,,
352556102272049,"55,164",LMU2630,85f,,
352556102537193,"55,161",LMU2630,85f,,
352556102535304,"255,164",LMU2630,85f,,
352556102510661,"55,164",LMU2630,85f,,
354514102535186,"55,167",LMU2630,85f,,
357852031514634,/BasicScripts/PERU_BASIC_3810590.txt,GENX,,,
862193021563333,,Queclink GV55Lite,,,
359315071918972,/BasicScripts/PERU/CUSTOM_1MIN_PARKED,GENX,,,
868574042454475,,CalAmp 0330H - 2G - LMU0330G-SK07-G1000,,,
358014096616635,55161,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,85f,,
359316075756822,No register,GenX 656B,,,
358014091464536,,GENX,,,
868574042443494,,,,,
354514101223594,"55,167",LMU2630_NoPEGBehavior,85f,,
351628096057784,"55,161",LMU2630_NoPEGBehavior,71a,,
352556102938524,"7,175",LMU330 - Null PEGBehavior,29d,,
359369091146866,"7,173",LMU330 - Null PEGBehavior,29e,,
358077093380331,"255,161",LMU2630_NoPEGBehavior,85f,,
354514101231647,"255,161",LMU2630_NoPEGBehavior,85f,,
358014091231083,/BasicScripts/PERU/PERU_BIN_TEMP_3810470.txt,GenX 5P,G603.07.04KX 11:57:20 APR 26 2016,,
358077093311625,"55,182",LMU2630_NoPEGBehavior,85f,,
358077092208152,"7,138",LMU330 - Null PEGBehavior,29b,,
868574042443668,103,GV55W,R00A10V09,,
358077093356547,"55,167",LMU2630_NoPEGBehavior,85f,,
868574042930789,202,GV55W,R00A13V02,,
868574042445200,,GV55W,,,
868574042446323,203,GV55W,R00A10V09,,
868574042459540,203,GV55W,R00A10V09,,
868574042458831,203,GV55W,R00A10V09,,
868574042458500,203,GV55W,R00A10V09,,
868574042452586,203,GV55W,R00A10V09,,
868574042451570,203,GV55W,R00A10V09,,
868574042423447,203,GV55W,R00A10V09,,
860599002526895,,Queclink GL 300 ,,,
860599002522316,,Queclink GL 300,,,
860599002528263,,Queclink GL 300,,,
860599002517811,,Queclink GL 300,,,
868574042905567,202,GV55W,R00A13V02,,Agregados 11-12-2024
868574042874904,103,GV55W,R00A13V02,,Agregados 11-12-2025
868574042918354,102,GV55W,R00A13V02,,Agregados 11-12-2026
868574042855168,202,GV55W,R00A13V02,,Agregados 11-12-2027
868574042445242,,GV55W,,,Agregados 11-12-2028
868574042458419,103,GV55W,R00A10V09,,Agregados 11-12-2029
868574042419742,202,GV55W,R00A10V09,,Agregados 11-12-2030
