Dealer,Company,FEIN,DNI,Peripherals,Service Name,Owner,Unit ID,Unit,Unit Type,Carrier,Monthly Fee,Billing Group,Billing Period,Last Srv Paid Until,Service Paid Until,Serial #,Phone Number,Sim Number,IMEI,Bill To,Status,Last Event,Assigned To Company,Last Event Date,Last Contact On,Last Event Address
TSO Colombia - IBO IDCOM,POWERCHINA INTERNATIONAL GROUP LIMITED SUCURSAL COLOMBIA,901221033,NIT,"MDVR - 006000C1CD, Fatigue Sensor, Panic Button,",PLAN MAQUINARIA PESADA,Renting,03MJ,SY007CEQ688K8,Queclink GV55W,Claro CO,599000,16/07/2025,Mensual,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,S2-M007693-03MJ,9103596962,57101602308331672,868574042607197,,Active,Idle - Stop,10/28/2024 5:33:17 AM,11/14/2024 4:01:12 PM,11/14/2024 4:01:30 PM,"9WJW+CP Ibague, Tolima, Colombia"
TSO Colombia - IBO IDCOM,POWERCHINA INTERNATIONAL GROUP LIMITED SUCURSAL COLOMBIA,901221033,NIT,"Panic Button,",PLAN MAQUINARIA PESADA,Renting,14DU,SY007CEQ667K8,Queclink GV55W,Claro CO,599000,16/07/2025,Mensual,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,S2-M007693-14DU,9103447351,57101602709643340,868574042797923,,Active,Parked,10/28/2024 5:36:02 AM,11/14/2024 3:50:10 PM,11/14/2024 3:54:02 PM,"Q4F4+H2 Baranoa, Atlantico, Colombia"
UTS Sistemas Kalo MX,TRANSPORTES ONIS SA DE CV,,,"Panic Button,",Standard,Client,0IVI,IBIZA,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,19.99,,Mensual,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,4764335706,5901020046333,8934076200012929615,359369090475894,,Active,Parked,7/9/2024 9:59:29 AM,11/14/2024 3:15:50 PM,11/14/2024 3:16:29 PM,"Calle Antonio Manuel Rivera, Tlalnepantla, México"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,076H,01 PIP_KL629019,GenX 656BV,TELCEL MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,000003906030,8112279958,8952020616140184824,358696042956964,,Active,Drive,7/12/2024 5:52:05 PM,11/14/2024 9:50:26 AM,11/14/2024 9:50:53 AM,"Fuente de la Vida, 77567 Q.R., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,07Z1,JAC,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363112028,5901012567476,8934071200001493032,359369090058401,,Active,Parked,4/25/2024 11:44:10 AM,4/29/2024 5:31:50 PM,4/29/2024 5:32:11 PM,"Miguel Hidalgo-27, Carmen, Nuevo Leon, Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,07Z3,36,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363106173,5901012567478,8934071200001493057,358077091690798,,Active,Drive,4/4/2024 12:02:27 PM,4/29/2024 5:44:51 PM,4/29/2024 5:45:12 PM,"MEX-57, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,07ZC,TP0474,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363106833,5901012566559,8934071200001476888,358077091645941,,Active,Idle Alert,5/16/2024 1:10:53 PM,11/14/2024 3:28:48 PM,11/14/2024 3:29:16 PM,", Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0ANN,11,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363066095,5901007654595,8934076200000810884,357041069675471,,Active,Parked,4/4/2024 12:07:20 PM,4/29/2024 3:18:12 PM,4/29/2024 3:18:36 PM,"Juárez 614, El Jaral, 66550 Carmen, N.L., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0AOA,24,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363065145,5901008538189,8934075200004647861,357041069731209,,Active,End Speeding,4/5/2024 12:22:26 PM,4/29/2024 5:43:59 PM,4/29/2024 5:44:19 PM,"MEX-85D, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0DTJ,TP0575,GenX 656BV,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,000003956551,5901007836048,8934076200000578408,354725060638735,,Active,Drive,5/16/2024 1:13:22 PM,11/14/2024 3:59:04 PM,11/14/2024 3:59:27 PM,", Nuevo León"
