,IMEI,Phone number,SIMCARD,Unit type
0,868574042870530,991589677,895110163287069645,Queclink GV55W
1,868574042869458,991599841,895110163287069672,Queclink GV55W
2,868574042886783,943370448,895110163286345452,Queclink GV55W
3,868574042874979,987375273,895110163286345442,Queclink GV55W
4,868574042874896,987377283,895110163286345451,Queclink GV55W
5,868574042839857,991597004,895110163287069664,Queclink GV55W
6,868574042836945,991587158,895110163287069634,Queclink GV55W
7,868574042906185,991593280,895110163287069652,Queclink GV55W
8,868574042862693,991598132,895110163287069669,Queclink GV55W
9,868574042851316,941555658,895110163090361063,Queclink GV55W
10,868574042842778,943529683,895110163090676336,Queclink GV55W
11,868574042869003,943529755,895110163090676339,Queclink GV55W
12,863457051710364,972582500,8951101630842402222,Queclink GV300W
13,863457051713012,972582259,8951101630842402206,Queclink GV300W
14,863457051706800,972583643,8951101630842402263,Queclink GV300W
15,863457051705950,972584497,8951101630842402271,Queclink GV300W
16,863457051707972,972585050,8951101630842402297,Queclink GV300W
17,863457051709531,972585197,8951101630842402305,Queclink GV300W
18,863457051708889,972585689,8951101630842402339,Queclink GV300W
19,868574042443684,976274139,8951101630726669961,Queclink GV55W
20,868574042440227,982239286,8951101630726669383,Queclink GV55W
21,868574042457395,963307954,8951101630722078456,Queclink GV55W
22,868574042457114,989140875,8951101630726669607,Queclink GV55W
23,868574042455449,989160102,8951101630726669599,Queclink GV55W
24,868574042454020,997377719,8951101630722079090,Queclink GV55W
25,868574042453550,972318618,868574042453550,Queclink GV55W
26,868574042453071,973492969,8951101630726669946,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000
27,868574042453063,976209358,8951101630726669995,Queclink GV55W
28,868574042449970,983717218,895110163263067315,Queclink GV55W
29,868574042439153,963306686,8951101630746234994,Queclink GV55W
30,868574042452636,966704070,895110163074623631,Queclink GV55W
31,868574042449467,972556379,895110163074623590,Queclink GV55W
32,868574042445721,969774536,8951101630746236643,Queclink GV55W
33,868574042444658,956267729,895110163074623583,Queclink GV55W
34,868574042440987,940769208,895110163074623587,Queclink GV55
35,868574042439500,949142834,895110163074623589,Queclink GV55W
36,868574042419429,969353387,8951101630722079223,Queclink GV55W
37,868574042410071,997856568,8951101630722077961,Queclink GV55W
38,352556102459703,943337179,8951101630726669169,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01
39,354514101461012,959704986,8951101632661803787,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000
40,352556102002644,983324927,8951101632661804165,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000
41,352556102014136,942316572,8951101639501300700,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000
42,351628095444025,997584801,8951101630726670647,CalAmp 2630 - 3G - LMU2631H-H000-G1000
43,354514102530583,997442480,8951101630722078142,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01
44,358077093311625,972553731,8951101630842401109,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01
45,354514102535186,969774439,8951101630746236338,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01
46,359315071918972,983349820,8951101632630671635F,GenX 656B
47,358014096616635,972597069,8951101630733548836,GenX 656B
48,359316075756822,997450317,895110163965565907,GenX 5P
49,868574042443494,987413856,895110163074623529,Queclink GV55W
50,359369091146866,989674574,8951101632870695990,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000
51,358077093380331,989670062,895110163287069580,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01
52,354514101231647,940725446,895110163062097622,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01
53,868574042443668,940305494,8951101630733549008,Queclink GV55W
54,358077093356547,972555132,8951101630842401158,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01
55,868574042930789,991589031,895110163287069641,Queclink GV55W
56,868574042445200,967719221,8951101630726670001,Queclink GV55W
57,868574042446323,969773638,8951101630746236262,Queclink GV55W
58,868574042459540,969382983,8951101630746236270,Queclink GV55W
59,868574042458831,969386472,895110163074623628,Queclink GV55W
60,868574042458500,980647424,8951101630746234747,Queclink GV55W
61,868574042452586,989672096,8951101632870695917,Queclink GV55W
62,868574042451570,991581067,8951101632870696121,Queclink GV55W
63,868574042423447,987222625,895110163074623598,Queclink GV55W
64,860599002526895,989673788,8951101632870695958,Queclink GL 300
65,860599002522316,991845176,8951101632870694910,Queclink GL 300
66,860599002528263,991845915,8951101632870694928,Queclink GL 300
67,860599002517811,991844957,8951101632870694902,Queclink GL 300
