,IMEI,Configuration version,Firmware version,Device type
0,868574042870530,202,R00A13V02,GV55W
1,868574042869458,202,R00A13V02,GV55W
2,868574042886783,202,R00A13V02,GV55W
3,868574042874979,202,R00A13V02,GV55W
4,868574042874896,202,R00A13V02,GV55W
5,868574042839857,202,R00A13V02,GV55W
6,868574042836945,202,R00A13V02,GV55W
7,868574042906185,202,R00A13V02,GV55W
8,868574042862693,202,R00A13V02,GV55W
9,868574042851316,202,R00A13V02,GV55W
10,868574042842778,202,R00A13V02,GV55W
11,868574042869003,202,R00A13V02,GV55W
12,863457051710364,230,R01A19V03,GV300W
13,863457051713012,231,R01A19V03,GV300W
14,863457051706800,230,R01A19V03,GV300W
15,863457051693248,231,R01A19V03,GV300W
16,863457051705950,230,R01A19V03,GV300W
17,863457051707972,230,R01A19V03,GV300W
18,863457051709531,230,R01A19V03,GV300W
19,863457051708889,230,R01A19V03,GV300W
20,868574042443684,,,GV55W
21,868574042440227,,,GV55W
22,868574042434006,103,R00A10V09,GV55W
23,868574042457395,103,R00A10V09,GV55W
24,868574042457114,,,GV55W
25,868574042455449,,,GV55W
26,868574042454020,103,R00A10V09,GV55W
27,868574042453550,103,R00A10V09,GV55W
28,868574042453071,,,GV55W
29,868574042453063,,,GV55W
30,868574042449970,103,R00A10V09,GV55W
31,868574042439153,114,R00A10V09,GV55W
32,868574042438163,103,R00A10V09,GV55W
33,868574042454418,103,R00A10V09,GV55W
34,868574042454244,103,R00A10V09,GV55W
35,868574042452636,103,R00A10V09,GV55W
36,868574042452537,103,R00A10V09,GV55W
37,868574042451893,103,R00A10V09,GV55W
38,868574042451661,103,R00A10V09,GV55W
39,868574042449467,103,R00A10V09,GV55W
40,868574042445721,103,R00A10V09,GV55W
41,868574042444658,103,R00A10V09,GV55W
42,868574042440987,103,R00A10V09,GV55W
43,868574042439500,103,R00A10V09,GV55W
44,868574042425632,103,R00A10V09,GV55W
45,868574042423074,103,R00A10V09,GV55W
46,868574042419429,103,R00A10V09,GV55W
47,868574042412572,103,R00A10V09,GV55W
48,868574042392808,103,R00A10V09,GV55W
49,868574042410071,103,R00A10V09,GV55W
50,868574042400361,103,R00A10V09,GV55W
51,352556102459703,"55,161",85f,LMU2630
52,358077093175137,"55,169",85f,LMU2630
53,354514101461012,"7,163",29d,LMU330
54,352556102002644,"7,163",29b,LMU330
55,352556102014136,"7,163",29b,LMU330
56,351628095444025,"55,169",71a,LMU2630
57,354514102530583,"55,161",85f,LMU2630
58,352556102272049,"55,164",85f,LMU2630
59,352556102537193,"55,161",85f,LMU2630
60,352556102535304,"255,164",85f,LMU2630
61,352556102510661,"55,164",85f,LMU2630
62,354514102535186,"55,167",85f,LMU2630
63,357852031514634,/BasicScripts/PERU_BASIC_3810590.txt,,GENX
64,862193021563333,,,Queclink GV55Lite
65,359315071918972,/BasicScripts/PERU/CUSTOM_1MIN_PARKED,,GENX
66,868574042454475,,,CalAmp 0330H - 2G - LMU0330G-SK07-G1000
67,358014096616635,55.161,85f,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01
68,359316075756822,No register,,GenX 656B
69,358014091464536,,,GENX
70,868574042443494,/BasicScripts/PERU/TEMP_BUZZ_3810470.txt,G603.07.04KX 11:57:20 APR 26 2016,GenX 656B
71,354514101223594,"55,167",85f,LMU2630_NoPEGBehavior
72,351628096057784,"55,161",71a,LMU2630_NoPEGBehavior
73,352556102938524,"7,175",29d,LMU330 - Null PEGBehavior
74,359369091146866,"7,173",29e,LMU330 - Null PEGBehavior
75,358077093380331,"255,161",85f,LMU2630_NoPEGBehavior
76,354514101231647,"255,161",85f,LMU2630_NoPEGBehavior
77,358014091231083,/BasicScripts/PERU/PERU_BIN_TEMP_3810470.txt,G603.07.04KX 11:57:20 APR 26 2016,GenX 5P
78,358077093311625,"55,182",85f,LMU2630_NoPEGBehavior
79,358077092208152,"7,138",29b,LMU330 - Null PEGBehavior
80,868574042443668,103,R00A10V09,GV55W
81,358077093356547,"55,167",85f,LMU2630_NoPEGBehavior
82,868574042930789,202,R00A13V02,GV55W
83,868574042445200,,,GV55W
84,868574042446323,203,R00A10V09,GV55W
85,868574042459540,203,R00A10V09,GV55W
86,868574042458831,203,R00A10V09,GV55W
87,868574042458500,203,R00A10V09,GV55W
88,868574042452586,203,R00A10V09,GV55W
89,868574042451570,203,R00A10V09,GV55W
90,868574042423447,203,R00A10V09,GV55W
91,860599002526895,,,Queclink GL 300 
92,860599002522316,,,Queclink GL 300
93,860599002528263,,,Queclink GL 300
94,860599002517811,,,Queclink GL 300
