ID,Identifier,Model,Status,Category,Configuration,Created On,ESN,Firmware Version,IMEI,Script Identifier
4110689,4764385567,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-07-12, 1:18 PM",4764385567,85f,358077093396543,7.38
4110460,4764385061,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-07-12, 1:17 PM",4764385061,85f,358077093352397,55.161
4237402,4764428712,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-07-18, 3:09 PM",4764428712,85f,354514102535285,7.38
3054994,4764385094,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:15 PM",4764385094,85f,358077093381586,7.38
3055078,4764401684,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:15 PM",4764401684,85f,354514101221309,7.38
2830508,4764383656,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-12, 11:34 AM",4764383656,85f,358077093348288,7.38
2830851,4764412369,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-12, 11:34 AM",4764412369,85f,352556102424269,7.38
3054383,4764397153,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:13 PM",4764397153,74b,358077093484364,7.38
5052731,4764206352,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-09-15, 10:20 AM",4764206352,85f,357041062612224,7.38
3054358,4764400454,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:13 PM",4764400454,85f,354514101221457,7.38
3053806,4764383700,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:13 PM",4764383700,85f,358077093311880,55.173
4110254,4764383644,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-07-12, 1:17 PM",4764383644,85f,358077093307086,7.38
3054115,4764385575,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:13 PM",4764385575,85f,358077093386585,7.38
3055239,4764400572,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:15 PM",4764400572,85f,354514101228106,7.38
4110458,4764384990,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-07-12, 1:17 PM",4764384990,85f,358077093380984,7.38
2830837,4764385016,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-12, 11:34 AM",4764385016,85f,358077093347801,7.38
3055204,4764383838,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:15 PM",4764383838,85f,,7.38
2830719,4764256516,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-12, 11:34 AM",4764256516,85f,357041065083969,7.38
4235289,4764428504,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-07-18, 3:06 PM",4764428504,85f,354514102549310,7.38
3055125,4764412777,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:15 PM",4764412777,85f,352556102304057,7.38
3055152,4764412388,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:15 PM",4764412388,85f,352556102422982,7.38
3054866,4764383742,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:14 PM",4764383742,85f,358077093321319,7.38
3055190,4764401377,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:15 PM",4764401377,85f,354514101221002,7.38
3055136,4764401834,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:15 PM",4764401834,85f,354514101216952,7.38
4235078,4764428581,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-07-18, 3:06 PM",4764428581,85f,354514102321769,7.38
2830640,4764401413,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-12, 11:34 AM",4764401413,85f,354514101221416,7.38
4224089,4764385853,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-07-17, 5:27 PM",4764385853,74b,358077093311575,7.38
4110368,4764383649,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-07-12, 1:17 PM",4764383649,85b,358077093315790,7.38
4112296,4764298582,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-07-12, 1:21 PM",4764298582,85f,358077090741964,7.38
2830336,4764400530,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-12, 11:34 AM",4764400530,85f,354514101223578,7.38
3054924,4764400580,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:14 PM",4764400580,85f,354514101228551,7.38
4110244,4764385563,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-07-12, 1:17 PM",4764385563,85f,358077093405849,7.38
