,FIELD01,FIELD02,FIELD03,FIELD04
0,8957123112215165505,9101330521,358077093345144,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01
1,8957123112215382472,9101326828,862369031479922,Queclink GL 300W
2,8957123112215383868,9101164749,354514102328418,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000
3,8957123112215382712,9101367451,862369031472026,Queclink GL 300W
4,8957123112215380526,9101382471,862369031489053,Queclink GL 300W
5,8957123112215384031,9101342666,354514102535236,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000
6,8957123112215383454,9101338343,354514102533629,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01
7,8957123112215164292,9101059817,354514102543396,CalAmp 2631 - Gemalto HSPA - LMU2631H-0000-G1000
8,8957123112215380567,9101074065,862369031492677,Queclink GL 300W
9,8957123112215380591,9101342721,862369031492891,Queclink GL 300W
10,8957123112215382001,9101278499,354514102371350,CalAmp 2630 - 3G - LMU2631H-H000-G1000
11,8957123112215164383,9101058531,354514102353036,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01
12,8957123112215383389,9101388814,354514102532704,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01
13,8957123112215383611,9101346417,354514102530401,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01
14,8957123112215382720,9101198300,862369031471689,Queclink GL 300W
15,8957123112215383355,9101296617,354514102406495,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01
16,8957123112215382225,9101318042,862369031489251,Queclink GL 300W
