,Unit,Unit ID,Unit Type,IMEI
0,HSR591,12PU,Queclink GV55W,868574042783121
1,Dynapac Vibrocompact,13IG,Queclink GV55W,868574042794698
2,Komatsu PC210,13IL,Queclink GV55W,868574042797451
3,Bobcat S570 2017,13IR,Queclink GV55W,868574042789565
4,Komatsu PC130,14CF,Queclink GV55W,868574042789706
5,XCS45J Vibrocomp XCM,14F5,Queclink GV55W,868574042782016
6,Bobcat S570 2020,14F7,Queclink GV55W,868574042905401
7,Bobcat E42 2014,15AJ,Queclink GV55W,868574042894209
8,Bobcat S570 2021,15AM,Queclink GV55W,868574042889340
9,HFX606,15B3,Queclink GV55W,868574042894548
10,Bobcat E42 2015,15B4,Queclink GV55W,868574042867379
11,MBT153,15OQ,Queclink GV55W,868574042886676
12,HYSTERE02-12,14MP,Queclink GV55W,868574042856364
13,TAYLOR ROJA,14MS,Queclink GV55W,868574042862651
14,SY036RCB39688,0NN5,GenX 5P,358014097917073
15,RAX277,03WX,Queclink GV55W,868574042620554
16,UCK323,0XFR,Queclink GV55W,868574042743000
17, CATERPILLAR 320D2L,0ZDL,Queclink GV55W,868574042743943
18,EXCAVADORA1568,14FZ,Queclink GV55W,868574041982633
19,CATERPILLAR 5317,14G0,Queclink GV55W,868574042404728
20,VZI159,0KN3,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,359369090552759
21,NUS173,02WO,Queclink GV55W,868574042431994
22,GUQ537,0TWW,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,352556102757825
23,LWP330,0U29,Queclink GV55W,868574042889522
24,GKP900,0UAM,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,352556102035313
25,GKP899,0UAR,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,352556102512196
26,EON630,0UBC,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,352556102027054
27,GKP904,0UBR,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,352556102175085
28,GKP901,0UUY,Queclink GV55W,868574042734603
29,KNX402,0UV4,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,352556102948077
30,GKP902,0UV8,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,352556102903031
31,EON629,0UV9,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,352556102804650
32,EON628,0UWR,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,352556102758906
33,EFN063,0VIX,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,352556102056228
34,EGZ998,0VIY,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,352556102051799
35,LPZ483,0W0T,"CalAmp 2630 - HSPA -LMU26H3001-G1000

 Accum",357041060764944
36,KYW602,0W12,CalAmp 2631 - Gemalto HSPA - LMU2631H-H000-GTC01,357041060769661
37,KZR518,0WAB,Queclink GV55W,868574042019781
38,GEN - ECL825,0WAT,Queclink GV55W,868574041988259
39,GEN - ECL823,0WFO,Queclink GV55W,868574041321469
40,GEN - ECL824,0WFY,Queclink GV55W,868574041310645
41,SHE - ECL726,0WGX,Queclink GV55W,868574041227161
42,GEN - ECL826,0WHI,Queclink GV55W,868574041322483
43,SHE - ECL503A,0WHP,Queclink GV55W,868574041313375
44,SHE - ECL503C,0WHT,Queclink GV55W,868574041322731
45,SHE - ECL503D,0WIC,Queclink GV55W,868574041316121
46,SHE - ECL725,0WIG,Queclink GV55W,868574041334371
47,SHE - ECL388,0WIK,Queclink GV55W,868574041328860
48,SHE - ECL503B,0WIO,Queclink GV55W,868574041328142
49,SHE - ECL503,0WIR,Queclink GV55W,868574041310132
50,GEN - ECL827,0WJ6,Queclink GV55W,868574041333639
51,GEN - G21003849,0WJJ,Queclink GV55W,868574041309464
52,SHE - ECL724,0WJN,Queclink GV55W,868574041325288
53,ELR115,0XID,Queclink GV55W,868574042397740
54,KWO994,0XLS,Queclink GV55W,868574042406608
55,LUX783,12L7,Queclink GV55W,868574042718655
56,NXP569,14NC,Queclink GV55W,868574042899133
