,IMEI,Script Identifier,Model,Firmware Version
0,358077093396543.0,7.38,LMU2630,85f
1,358077093352397.0,55.161,LMU2630,85f
2,354514102535285.0,7.38,LMU2630,85f
3,358077093381586.0,7.38,LMU2630,85f
4,354514101221309.0,7.38,LMU2630,85f
5,358077093348288.0,7.38,LMU2630,85f
6,352556102424269.0,7.38,LMU2630,85f
7,358077093484364.0,7.38,LMU2630,74b
8,357041062612224.0,7.38,LMU2630,85f
9,354514101221457.0,7.38,LMU2630,85f
10,358077093311880.0,55.173,LMU2630,85f
11,358077093307086.0,7.38,LMU2630,85f
12,358077093386585.0,7.38,LMU2630,85f
13,354514101228106.0,7.38,LMU2630,85f
14,358077093380984.0,7.38,LMU2630,85f
15,358077093347801.0,7.38,LMU2630,85f
16,,7.38,LMU2630,85f
17,357041065083969.0,7.38,LMU2630,85f
18,354514102549310.0,7.38,LMU2630,85f
19,352556102304057.0,7.38,LMU2630,85f
20,352556102422982.0,7.38,LMU2630,85f
21,358077093321319.0,7.38,LMU2630,85f
22,354514101221002.0,7.38,LMU2630,85f
23,354514101216952.0,7.38,LMU2630,85f
24,354514102321769.0,7.38,LMU2630,85f
25,354514101221416.0,7.38,LMU2630,85f
26,358077093311575.0,7.38,LMU2630,74b
27,358077093315790.0,7.38,LMU2630,85b
28,358077090741964.0,7.38,LMU2630,85f
29,354514101223578.0,7.38,LMU2630,85f
30,354514101228551.0,7.38,LMU2630,85f
31,358077093405849.0,7.38,LMU2630,85f
32,354514101231373.0,7.38,LMU2630,85f
33,357041065235734.0,7.38,LMU2630,85f
34,351628093098310.0,7.38,LMU2630,71a
35,354514101190397.0,7.38,LMU2630,85f
36,358077093191720.0,7.38,LMU2630,85f
37,352556102520397.0,7.38,LMU2630,85f
38,352556102330359.0,7.38,LMU2630,85f
39,357041061805621.0,7.38,LMU2630,85f
40,358077093316699.0,255.161,LMU2630,74b
41,358077093349625.0,7.38,LMU2630,85f
42,357041065212527.0,7.38,LMU2630,85f
